url,md5
http://data.gdeltproject.org/events/20240609.export.CSV.zip,89220c269b0f1886bf14c2ceee12ded6
http://data.gdeltproject.org/events/20240608.export.CSV.zip,a209f8b762e3fb11cf8fb62a23234fc1
http://data.gdeltproject.org/events/20240607.export.CSV.zip,c2c33f711fe462261060f670d07eed0a
http://data.gdeltproject.org/events/20240606.export.CSV.zip,ac5daa834e180c67995883e137b3f81c
http://data.gdeltproject.org/events/20240605.export.CSV.zip,b41a4142be1835cedf663d94689d5a1b
http://data.gdeltproject.org/events/20240604.export.CSV.zip,6c12d2e6cbd6af1fd93989a968cb1f8a
http://data.gdeltproject.org/events/20240603.export.CSV.zip,db40acd80d29ad31e18a3b19c11196c6
http://data.gdeltproject.org/events/20240602.export.CSV.zip,16fd29374ee38f6cd4e35b3725bca9b9
http://data.gdeltproject.org/events/20240601.export.CSV.zip,a9eee061124db991257be5df16af0b26
http://data.gdeltproject.org/events/20240531.export.CSV.zip,9cbc02c0d5d9b9dccfd38e07466010de
http://data.gdeltproject.org/events/20240530.export.CSV.zip,50ec554b169fe375c17dbbf5148ad7d8
http://data.gdeltproject.org/events/20240529.export.CSV.zip,9843dfaafb1d030bc335b19446fe4207
http://data.gdeltproject.org/events/20240528.export.CSV.zip,a5b12a650e0495a5ddf4e03575a2c634
http://data.gdeltproject.org/events/20240527.export.CSV.zip,eb436268cfcebe1369fcd6d2c13cb3ac
http://data.gdeltproject.org/events/20240526.export.CSV.zip,0e0dcb457467870300d98dc555b7bda9
http://data.gdeltproject.org/events/20240525.export.CSV.zip,a3f2cb032662add381332af8fa98b9df
http://data.gdeltproject.org/events/20240524.export.CSV.zip,1c1bce47793ae6cc39ec1dcede3a7f2a
http://data.gdeltproject.org/events/20240523.export.CSV.zip,7ab630132898670207319479df98d419
http://data.gdeltproject.org/events/20240522.export.CSV.zip,8c3a65b3e23f530bba6186b084cb0030
http://data.gdeltproject.org/events/20240521.export.CSV.zip,36eadf6d83983349d0d590e9d60fb857
http://data.gdeltproject.org/events/20240520.export.CSV.zip,a12ce9030ca3f83964f8146248e5e7ab
http://data.gdeltproject.org/events/20240519.export.CSV.zip,59d3bb1f3ef2dcb904880f283038313f
http://data.gdeltproject.org/events/20240518.export.CSV.zip,61eed6ea0706d9137b9b1bef1362c20c
http://data.gdeltproject.org/events/20240517.export.CSV.zip,8fcfddcaad05ffbcd21537d2c8049496
http://data.gdeltproject.org/events/20240516.export.CSV.zip,45071d587de82ea10af2128617c736d4
http://data.gdeltproject.org/events/20240515.export.CSV.zip,7298ec294c346df218054431aa440c96
http://data.gdeltproject.org/events/20240514.export.CSV.zip,d057336887a177bc1f00b36a114ba4ab
http://data.gdeltproject.org/events/20240513.export.CSV.zip,3c9fdbfa148fe23e58a77ac925b3a31d
http://data.gdeltproject.org/events/20240512.export.CSV.zip,5cc8dcec7c99bbc5ce50485540f3b501
http://data.gdeltproject.org/events/20240511.export.CSV.zip,2e5a779d2ea0995aafcabf46c247cec1
http://data.gdeltproject.org/events/20240510.export.CSV.zip,ad67dc09f125f3f3314eb11505475503
http://data.gdeltproject.org/events/20240509.export.CSV.zip,9e06a66a66810ada51e14a0e323f3a00
http://data.gdeltproject.org/events/20240508.export.CSV.zip,80a40252a4c8fa142802fe5073636576
http://data.gdeltproject.org/events/20240507.export.CSV.zip,85ae2400c1d80c6f5a37484bb354be51
http://data.gdeltproject.org/events/20240506.export.CSV.zip,81ea844600e6301915e1bbf5cb037148
http://data.gdeltproject.org/events/20240505.export.CSV.zip,df4f5f011075e05d889dfecfdb72fda8
http://data.gdeltproject.org/events/20240504.export.CSV.zip,060cbf244c14378f1e8d689b45afda87
http://data.gdeltproject.org/events/20240503.export.CSV.zip,3d9bb243d7e675e49e3c43781b2265d5
http://data.gdeltproject.org/events/20240502.export.CSV.zip,059660ed6a839f14c12f27ce747162b8
http://data.gdeltproject.org/events/20240501.export.CSV.zip,b93c2cd2d4aaaf5d973ba6a84c1e02d6
http://data.gdeltproject.org/events/20240430.export.CSV.zip,8c9ef7444bb1ecdaa0676d0f6cf3ccb5
http://data.gdeltproject.org/events/20240429.export.CSV.zip,dd3f363cba9dc0d02be43c45ba2d9966
http://data.gdeltproject.org/events/20240428.export.CSV.zip,363ec69b2b39e537096cb1669b69efed
http://data.gdeltproject.org/events/20240427.export.CSV.zip,9af0f0c9d8e9cf1f5a8a8bf46e90005a
http://data.gdeltproject.org/events/20240426.export.CSV.zip,055785f01caf92fa6b88adf2a69853f4
http://data.gdeltproject.org/events/20240425.export.CSV.zip,01b6a40099ffb0977387604029b3141c
http://data.gdeltproject.org/events/20240424.export.CSV.zip,c6619dea2dd911e63d7bab17592ce80a
http://data.gdeltproject.org/events/20240423.export.CSV.zip,b7cc8dff60539e0c13b7aec9f9c835a0
http://data.gdeltproject.org/events/20240422.export.CSV.zip,83c35b687aea81ea54e69d6d471b9704
http://data.gdeltproject.org/events/20240421.export.CSV.zip,464996d0dfa0a6ae4ab557205637ed6c
http://data.gdeltproject.org/events/20240420.export.CSV.zip,fbeb3c4577517a89a3aef5c4ae57a82a
http://data.gdeltproject.org/events/20240419.export.CSV.zip,cea82afad7ddd454a74f05a4176a27b0
